,text
103,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
104,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
105,"RT @PTIofficial: Since 1989, onwards uncountable women have been displaced, raped and murdered brutally. All the organizations around the w…"
106,"RT @LetKashmirSpeak: Trump’s upcoming India visit causes panic among IOJ&amp;K Sikhs

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen

@U…"
107,Today is the 25th anniversary of one of the darkest days of Kashmiri girls and women when Indian Army forced all th… https://t.co/SjtVKnog2h
108,RT @PTIofficial: Modi is a life long member of Racist RRS group which follows the footsteps of Hitler. In order to attain ‘Akhand Bharat’ (…
109,"High chances of severe clashes on #LOC tonight.
#locupdate #Kashmir #Jura #NeelumValley"
110,"RT @PTIofficial: Arundhati Roy isn’t much wrong in calling India a graveyard for Muslims since according to Amnesty International in 2015,…"
111,"RT @PTIofficial: 200+ horrific days of being caged within the walls of your home with no access to Food, medicine &amp; Internet. This is the l…"
112,"RT @NimraSamarrr: Women of #Kashmir continue to be the backbone of 7 decades of Struggle.

Kudos to Brave Mothers of Kashmir ❤

#WomenResis…"
113,RT @PTIofficial: Human Rights Activists have started condemning the hostility of fascist Indian Government in #Kashmir. The Hitler of 20th…
114,"RT @IamKashmiri_: 29 years of the mass rapes in #Kunan #Poshpora by Indian army and still no justice served.
 How can we even expect justic…"
115,"RT @DrJitendraSingh: #ConstituencyUpdate :Out of Rs 2500 Cr PMGSY Road Projects for #Jammu &amp; #Kashmir ,Rs 1000 Cr for Udhampur-Kathua-Doda.…"
116,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
117,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
118,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
119,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
120,RT @W7VOA: No response here to our shouted question on #Kashmir. @POTUS and @FLOTUS boarded Air Force One at 09:33EST. https://t.co/zygvJTi…
121,"RT @NimraSamarrr: Women of #Kashmir continue to be the backbone of 7 decades of Struggle.

Kudos to Brave Mothers of Kashmir ❤

#WomenResis…"
122,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
123,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
124,"RT @786__Zakia: The next time you see a Kashmiri, give them a hug!

#Kashmir https://t.co/fAoE1U41Hp"
125,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
126,RT @PTIofficial: Indian Occupied Kashmir is under lockdown for over 200 days now. The world is getting a slight glimps of what is happening…
127,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
128,"RT @Afreena021: @ImranKhanPTI In #Kashmir valley ""India I Love You"" is written on the walls. This is the truth! 

#India 

#NamasteTrump…"
129,"RT @DrJitendraSingh: #ConstituencyUpdate :Out of Rs 2500 Cr PMGSY Road Projects for #Jammu &amp; #Kashmir ,Rs 1000 Cr for Udhampur-Kathua-Doda.…"
130,"RT @IamOnir: 30 years ... and justice still eludes the survivors of #KunanPoshpora mass rape .
#kashmir 

That Night in Kunan Poshpora by Z…"
131,"RT @Afreena021: @majorgauravarya @manojmuntashir @republic #Kashmir youth enjoy time from Indian Petriotism

#NamasteyTrump 

#Jaffrabad…"
132,"RT @AsimKhanTweets: I'm very passionate about our Kashmiri youth. They can do a lot of things, if mentored in the right direction &amp; given r…"
133,"RT @Shazia: What mountains have witnessed nearly 3 decades ago,in 2 nondescript villages of #KunanPoshpora, will India &amp; rest of the world…"
134,"RT @HanzlaNaveedISB: Feedback of a courageous and brave Kashmiri girl, struggling for freedom. We salute our Kashmiri sisters! 

#WomenResi…"
135,"RT @786__Zakia: The next time you see a Kashmiri, give them a hug!

#Kashmir https://t.co/fAoE1U41Hp"
136,"RT @woundedKashmir: So called K Twitter Meme experts are tweeting shit always, disrespecting communities, #kashmir freedom struggle and cal…"
137,"RT @Afreena021: @majorgauravarya @manojmuntashir @republic #Kashmir youth enjoy time from Indian Petriotism

#NamasteyTrump 

#Jaffrabad…"
138,RT @shahjhan_malikk: February 23 is commemorated as “Kashmiri Women’s Resistence Day” inspired by the struggle for #justice of the survivor…
139,RT @Mia121Mia: #NayaKashmir #Kashmiri students performing on a #patriotic song in #Bandipora #Kashmir. The future is bright only with #Indi…
140,RT @the_hindu: #TheHuddle2020 | The release of the “remaining six to seven” top political leaders of J&amp;K would only be possible after a sec…
141,"RT @AQUIBMIR7: Another other historical work by @DrJitendraSingh g .: Out of Rs 2500 Cr PMGSY Road Projects for #Jammu &amp; #Kashmir , Rs 1000…"
142,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
143,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
144,"@AmitShah ji, kindly see this &amp; please ensure that #BJP's credibility is protected, no matter what.
Altaf Bukhar sh… https://t.co/8Me6ZSkS3o"
145,"@majorgauravarya @manojmuntashir @republic #Kashmir youth enjoy time from Indian Petriotism

#NamasteyTrump… https://t.co/7IwSczPa5m"
146,"RT @Husnain4s_: 200+ days of lockdown in #Kashmir. Hidden behind the headlines, Kashmiris Continue to survive. Like never before.
#KashmirL…"
147,"RT @adeelahmedazad: #US President @realDonaldTrump arrives in India on Monday for two-day visit, I hope He will urge India and Pakistan to…"
148,"RT @PTIofficial: 200+ horrific days of being caged within the walls of your home with no access to Food, medicine &amp; Internet. This is the l…"
149,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
150,RT @arabnewspk: Famed Indian #Bollywood actor turned politician #ShatrughanSinha met #Pakistan President #ArifAlvi in #Lahore. Discussing d…
151,"RT @dibyeshanand: This day in 1991, mass rape of girls and women was perpetrated by #India in #KunanPoshpora in #Kashmir. 
Our silence arou…"
152,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
153,"RT @786__Zakia: The next time you see a Kashmiri, give them a hug!

#Kashmir https://t.co/fAoE1U41Hp"
154,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
155,"RT @woundedKashmir: So called K Twitter Meme experts are tweeting shit always, disrespecting communities, #kashmir freedom struggle and cal…"
156,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
157,"RT @SoStarMusic: PM urges world to become voice of resilient Kashmiri women

“Their sufferings have multiplied after 5 Aug siege by #Modi G…"
158,RT @rajnish1Midas: @Ibne_Sena @madhukishwar @rammadhavbjp @shaurya_doval @DrJitendraSingh @PMOIndia @HMOIndia @ImAvinashKhanna @TheChetak @…
159,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
160,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
161,"K-Twitter in 2020: Abusive,Racist,Showoff,Flirting etc..
Really miss that old K-Twitter Full of genuine &amp; Decent Discussions....
#Kashmir"
162,"RT @SaadiaSattar_: Congratulations 
#Aligarh is the new #Kashmir"
163,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
164,"RT @_MansoorBhat: Starting a new Business in #Kashmir &amp; I've decided to name my Cafe #Kunposh to remember Kunan Poshpora, 23 Feburary 1991.…"
165,"RT @NimraSamarrr: Women of #Kashmir continue to be the backbone of 7 decades of Struggle.

Kudos to Brave Mothers of Kashmir ❤

#WomenResis…"
166,"RT @AroobaAli10: Indian media reporting about kashmir but everything is not normal #mediaonline #news #Kashmir
#MediaByExample
#KashmirBlee…"
167,"RT @dibyeshanand: This day in 1991, mass rape of girls and women was perpetrated by #India in #KunanPoshpora in #Kashmir. 
Our silence arou…"
168,"RT @shopiank: @narendramodi @POTUS @realDonaldTrump Please keep Kashmir in the agenda , the history of #Kashmir issue &amp; its solution is cle…"
169,@IndiaToday Guess What ?? It's not only @ImranKhanPTI  .. who wishes @realDonaldTrump to raise #Kashmir with… https://t.co/wkLnbpq5Na
170,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
171,"RT @KASHMlRandME: Delicate they may be, but
they cannot be repressed.

#Kashmir
#WomenResistanceDay https://t.co/InRnbUrbs4"
172,RT @the_hindu: #TheHuddle2020 | The release of the “remaining six to seven” top political leaders of J&amp;K would only be possible after a sec…
173,"RT @KASHMlRandME: ""The women who sees without being seen frustrates the colonizer.""

~Frantz Fanon

#Kashmir
#WomenResistanceDay https://t.…"
174,"RT @DrJitendraSingh: #ConstituencyUpdate :Out of Rs 2500 Cr PMGSY Road Projects for #Jammu &amp; #Kashmir ,Rs 1000 Cr for Udhampur-Kathua-Doda.…"
175,"RT @Shazia: What mountains have witnessed nearly 3 decades ago,in 2 nondescript villages of #KunanPoshpora, will India &amp; rest of the world…"
176,"RT @SoStarMusic: PM urges world to become voice of resilient Kashmiri women

“Their sufferings have multiplied after 5 Aug siege by #Modi G…"
177,"#ResistanceInReview

September 29, 2016: MBBS Students from Government Medical College Srinagar stage a pro-freedom… https://t.co/sK308y1z9r"
178,#TheHuddle2020 | The release of the “remaining six to seven” top political leaders of J&amp;K would only be possible af… https://t.co/CEjLgjst8O
179,"RT @LetKashmirSpeak: Trump’s upcoming India visit causes panic among IOJ&amp;K Sikhs

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen

@U…"
180,"RT @NimraSamarrr: Today on #WomenResistanceDay, Let's pay tribute to all Brave Kashmiri women who are still in Prison,and those who Are the…"
181,"RT @KASHMlRandME: ""The women who sees without being seen frustrates the colonizer.""

~Frantz Fanon

#Kashmir
#WomenResistanceDay https://t.…"
182,"RT @Husnain4s_: 200+ days of lockdown in #Kashmir. Hidden behind the headlines, Kashmiris Continue to survive. Like never before.
#KashmirL…"
183,"RT @kabwrites: This night in 1991, time stopped and humanity died. Our motherland witnessed a doom.

#KunanPoshpora

#Kashmir"
184,RT @Iyervval: Hosted a fascinating panel at #Arth on #Kashmir &amp; the impact of #Article370. Topics including #kashmiripandits #Dalit &amp; #LGBT…
185,"RT @Samiyalatief: Goosebumps! #KashmiriWomenResistanceDay #Kashmir #KunanPoshpora 'Bella Ciao, Kashmiri version written/sung by Kashmiri wo…"
186,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
187,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
188,"RT @tkwmag: Hoping to go to #Kashmir where my mother was born: #MoeenAli

https://t.co/H0fz0tvnJu"
189,"Congratulations 
#Aligarh is the new #Kashmir https://t.co/RA94jjcyES"
190,"RT @KashmirPivot: The tentative cost of the development of new playgrounds across #Kashmir is Rs 59.10 crore, the meeting was informed."
191,"RT @KASHMlRandME: ""The women who sees without being seen frustrates the colonizer.""

~Frantz Fanon

#Kashmir
#WomenResistanceDay https://t.…"
192,RT @PTIofficial: Modi is a life long member of Racist RRS group which follows the footsteps of Hitler. In order to attain ‘Akhand Bharat’ (…
193,"RT @DrJitendraSingh: #ConstituencyUpdate :Out of Rs 2500 Cr PMGSY Road Projects for #Jammu &amp; #Kashmir ,Rs 1000 Cr for Udhampur-Kathua-Doda.…"
194,"RT @Kasheerfirst: #Indian army carried out a planned mass rape of the women in #KunanPoshpora . while the women were gang-raped, the men we…"
195,"RT @LetKashmirSpeak: Trump’s upcoming India visit causes panic among IOJ&amp;K Sikhs

#LetKashmirSpeak #StandWithKashmir #SaveKashmiriWomen

@U…"
196,"RT @monerief: This 👇 thread night of Kunan Pashpora of February 23rd, 1991 #Kashmir @Abukar_Arman  @afghanfarzana1 @figaar_ @zasaria @RoufB…"
197,"#ResistanceInReview

April 19, 2018: A Female student shouts on an Indian policeman who films her during clashes at… https://t.co/ye5cjjnH6N"
